x,a,l,lp,t,n
4.68,1,0.9997,0.9998,0.003,0.0393602
5.2,1,0.9997,0.9998,0.003,0.04347015
5.72,1,0.9997,0.9998,0.003,0.04755831
6.24,1,0.9997,0.9998,0.003,0.05162481
6.76,1,0.9997,0.9998,0.003,0.05566977
7.28,1,0.9997,0.9998,0.003,0.0596933
7.8,1,0.9997,0.9998,0.003,0.06369553
8.32,1,0.9997,0.9998,0.003,0.06767658
8.84,1,0.9997,0.9998,0.003,0.07163656
9.36,1,0.9997,0.9998,0.003,0.07557559
9.88,1,0.9997,0.9998,0.003,0.07949378
10.4,1,0.9997,0.9998,0.003,0.08339126
10.92,1,0.9997,0.9998,0.003,0.08726813
11.44,1,0.9997,0.9998,0.003,0.09112452
11.96,1,0.9997,0.9998,0.003,0.09496053
12.48,1,0.9997,0.9998,0.003,0.09877628
13,1,0.9997,0.9998,0.003,0.10257188
13.52,1,0.9997,0.9998,0.003,0.10634745
14.04,1,0.9997,0.9998,0.003,0.10992259
14.56,1,0.9997,0.9998,0.003,0.1105724
15.08,1,0.9997,0.9998,0.003,0.09280695
15.6,1,0.9997,0.9998,0.003,0.03877945
16.12,1,0.9997,0.9998,0.003,0
16.64,1,0.9997,0.9998,0.003,0
17.16,1,0.9997,0.9998,0.003,0
17.68,1,0.9997,0.9998,0.003,0
18.2,1,0.9997,0.9998,0.003,0
18.72,1,0.9997,0.9998,0.003,0
19.24,1,0.9997,0.9998,0.003,0
19.76,1,0.9997,0.9998,0.003,0
20.28,1,0.9997,0.9998,0.003,0
-5.2,1,0.9996,0.9997,0.004,0
-4.68,1,0.9996,0.9997,0.004,0
-4.16,1,0.9996,0.9997,0.004,0
-3.64,1,0.9996,0.9997,0.004,0
-3.12,1,0.9996,0.9997,0.004,0
-2.6,1,0.9996,0.9997,0.004,0
-2.08,1,0.9996,0.9997,0.004,0
-1.56,1,0.9996,0.9997,0.004,0.00000154
-1.04,1,0.9996,0.9997,0.004,0.00003795
-0.52,1,0.9996,0.9997,0.004,0.00042361
0,1,0.9996,0.9997,0.004,0.00260425
0.52,1,0.9996,0.9997,0.004,0.00816892
1.04,1,0.9996,0.9997,0.004,0.01386449
1.56,1,0.9996,0.9997,0.004,0.01951975
2.08,1,0.9996,0.9997,0.004,0.02513498
2.6,1,0.9996,0.9997,0.004,0.03071049
3.12,1,0.9996,0.9997,0.004,0.03624655
3.64,1,0.9996,0.9997,0.004,0.04174346
4.16,1,0.9996,0.9997,0.004,0.04720151
4.68,1,0.9996,0.9997,0.004,0.05262097
5.2,1,0.9996,0.9997,0.004,0.05800212
5.72,1,0.9996,0.9997,0.004,0.06334526
6.24,1,0.9996,0.9997,0.004,0.06865064
6.76,1,0.9996,0.9997,0.004,0.07391854
7.28,1,0.9996,0.9997,0.004,0.07914925
7.8,1,0.9996,0.9997,0.004,0.08434302
8.32,1,0.9996,0.9997,0.004,0.08950013
8.84,1,0.9996,0.9997,0.004,0.09462084
9.36,1,0.9996,0.9997,0.004,0.09970541
9.88,1,0.9996,0.9997,0.004,0.10475411
10.4,1,0.9996,0.9997,0.004,0.1097672
10.92,1,0.9996,0.9997,0.004,0.11474494
11.44,1,0.9996,0.9997,0.004,0.11968757
11.96,1,0.9996,0.9997,0.004,0.12459537
12.48,1,0.9996,0.9997,0.004,0.12946857
13,1,0.9996,0.9997,0.004,0.13430742
13.52,1,0.9996,0.9997,0.004,0.13907579
14.04,1,0.9996,0.9997,0.004,0.14308987
14.56,1,0.9996,0.9997,0.004,0.14119635
15.08,1,0.9996,0.9997,0.004,0.11395617
15.6,1,0.9996,0.9997,0.004,0.04615177
16.12,1,0.9996,0.9997,0.004,0
16.64,1,0.9996,0.9997,0.004,0
17.16,1,0.9996,0.9997,0.004,0
17.68,1,0.9996,0.9997,0.004,0
18.2,1,0.9996,0.9997,0.004,0
18.72,1,0.9996,0.9997,0.004,0
19.24,1,0.9996,0.9997,0.004,0
19.76,1,0.9996,0.9997,0.004,0
20.28,1,0.9996,0.9997,0.004,0
-5.2,1,0.9995,0.9996,0.005,0
-4.68,1,0.9995,0.9996,0.005,0
-4.16,1,0.9995,0.9996,0.005,0
-3.64,1,0.9995,0.9996,0.005,0
-3.12,1,0.9995,0.9996,0.005,0
-2.6,1,0.9995,0.9996,0.005,0
-2.08,1,0.9995,0.9996,0.005,0.00000026
-1.56,1,0.9995,0.9996,0.005,0.0000075
-1.04,1,0.9995,0.9996,0.005,0.00009701
-0.52,1,0.9995,0.9996,0.005,0.00077008
0,1,0.9995,0.9996,0.005,0.00385808
0.52,1,0.9995,0.9996,0.005,0.01094804
1.04,1,0.9995,0.9996,0.005,0.01803661
1.56,1,0.9995,0.9996,0.005,0.02506251
2.08,1,0.9995,0.9996,0.005,0.03202631
2.6,1,0.9995,0.9996,0.005,0.03892856
3.12,1,0.9995,0.9996,0.005,0.04576982
3.64,1,0.9995,0.9996,0.005,0.05255064
4.16,1,0.9995,0.9996,0.005,0.05927157
4.68,1,0.9995,0.9996,0.005,0.06593313
5.2,1,0.9995,0.9996,0.005,0.07253587
5.72,1,0.9995,0.9996,0.005,0.07908031
6.24,1,0.9995,0.9996,0.005,0.08556698
6.76,1,0.9995,0.9996,0.005,0.09199639
7.28,1,0.9995,0.9996,0.005,0.09836907
7.8,1,0.9995,0.9996,0.005,0.10468552
8.32,1,0.9995,0.9996,0.005,0.11094624
8.84,1,0.9995,0.9996,0.005,0.11715173
9.36,1,0.9995,0.9996,0.005,0.1233025
9.88,1,0.9995,0.9996,0.005,0.12939903
10.4,1,0.9995,0.9996,0.005,0.13544181
10.92,1,0.9995,0.9996,0.005,0.14143131
11.44,1,0.9995,0.9996,0.005,0.14736802
11.96,1,0.9995,0.9996,0.005,0.15325241
12.48,1,0.9995,0.9996,0.005,0.15908495
13,1,0.9995,0.9996,0.005,0.16485875
13.52,1,0.9995,0.9996,0.005,0.17040895
14.04,1,0.9995,0.9996,0.005,0.1741853
14.56,1,0.9995,0.9996,0.005,0.16842428
15.08,1,0.9995,0.9996,0.005,0.13130855
15.6,1,0.9995,0.9996,0.005,0.05178639
16.12,1,0.9995,0.9996,0.005,0
16.64,1,0.9995,0.9996,0.005,0
17.16,1,0.9995,0.9996,0.005,0
17.68,1,0.9995,0.9996,0.005,0
