x,t,a,l,lp,n
-5.2,0.001,1,0.9999,1,0
-4.68,0.001,1,0.9999,1,0
-4.16,0.001,1,0.9999,1,0
-3.64,0.001,1,0.9999,1,0
-3.12,0.001,1,0.9999,1,0
-2.6,0.001,1,0.9999,1,0
-2.08,0.001,1,0.9999,1,0
-1.56,0.001,1,0.9999,1,0
-1.04,0.001,1,0.9999,1,0
-0.52,0.001,1,0.9999,1,0
0,0.001,1,0.9999,1,0.00027284
0.52,0.001,1,0.9999,1,0.00159436
1.04,0.001,1,0.9999,1,0.00303372
1.56,0.001,1,0.9999,1,0.00447053
2.08,0.001,1,0.9999,1,0.0059048
2.6,0.001,1,0.9999,1,0.00733653
3.12,0.001,1,0.9999,1,0.00876573
3.64,0.001,1,0.9999,1,0.0101924
4.16,0.001,1,0.9999,1,0.01161656
4.68,0.001,1,0.9999,1,0.01303821
5.2,0.001,1,0.9999,1,0.01445735
5.72,0.001,1,0.9999,1,0.015874
6.24,0.001,1,0.9999,1,0.01728816
6.76,0.001,1,0.9999,1,0.01869983
7.28,0.001,1,0.9999,1,0.02010903
7.8,0.001,1,0.9999,1,0.02151575
8.32,0.001,1,0.9999,1,0.02292002
8.84,0.001,1,0.9999,1,0.02432182
9.36,0.001,1,0.9999,1,0.02572117
9.88,0.001,1,0.9999,1,0.02711808
10.4,0.001,1,0.9999,1,0.02851255
10.92,0.001,1,0.9999,1,0.02990458
11.44,0.001,1,0.9999,1,0.0312942
11.96,0.001,1,0.9999,1,0.03268139
12.48,0.001,1,0.9999,1,0.03406616
13,0.001,1,0.9999,1,0.03544854
13.52,0.001,1,0.9999,1,0.03682851
14.04,0.001,1,0.9999,1,0.03820608
14.56,0.001,1,0.9999,1,0.03958127
15.08,0.001,1,0.9999,1,0.03649234
15.6,0.001,1,0.9999,1,0.01651285
16.12,0.001,1,0.9999,1,0
16.64,0.001,1,0.9999,1,0
17.16,0.001,1,0.9999,1,0
17.68,0.001,1,0.9999,1,0
18.2,0.001,1,0.9999,1,0
18.72,0.001,1,0.9999,1,0
19.24,0.001,1,0.9999,1,0
19.76,0.001,1,0.9999,1,0
20.28,0.001,1,0.9999,1,0
-5.2,0.002,1,0.9998,0.9999,0
-4.68,0.002,1,0.9998,0.9999,0
-4.16,0.002,1,0.9998,0.9999,0
-3.64,0.002,1,0.9998,0.9999,0
-3.12,0.002,1,0.9998,0.9999,0
-2.6,0.002,1,0.9998,0.9999,0
-2.08,0.002,1,0.9998,0.9999,0
-1.56,0.002,1,0.9998,0.9999,0
-1.04,0.002,1,0.9998,0.9999,0
-0.52,0.002,1,0.9998,0.9999,0.00005228
0,0.002,1,0.9998,0.9999,0.00080443
0.52,0.002,1,0.9998,0.9999,0.00348906
1.04,0.002,1,0.9998,0.9999,0.0063585
1.56,0.002,1,0.9998,0.9999,0.00921778
2.08,0.002,1,0.9998,0.9999,0.01206692
2.6,0.002,1,0.9998,0.9999,0.01490598
3.12,0.002,1,0.9998,0.9999,0.01773499
3.64,0.002,1,0.9998,0.9999,0.020554
4.16,0.002,1,0.9998,0.9999,0.02336303
4.68,0.002,1,0.9998,0.9999,0.02616214
5.2,0.002,1,0.9998,0.9999,0.02895135
5.72,0.002,1,0.9998,0.9999,0.03173072
6.24,0.002,1,0.9998,0.9999,0.03450027
6.76,0.002,1,0.9998,0.9999,0.03726005
7.28,0.002,1,0.9998,0.9999,0.0400101
7.8,0.002,1,0.9998,0.9999,0.04275045
8.32,0.002,1,0.9998,0.9999,0.04548115
8.84,0.002,1,0.9998,0.9999,0.04820222
9.36,0.002,1,0.9998,0.9999,0.05091372
9.88,0.002,1,0.9998,0.9999,0.05361567
10.4,0.002,1,0.9998,0.9999,0.05630811
10.92,0.002,1,0.9998,0.9999,0.05899109
11.44,0.002,1,0.9998,0.9999,0.06166464
11.96,0.002,1,0.9998,0.9999,0.06432879
12.48,0.002,1,0.9998,0.9999,0.06698358
13,0.002,1,0.9998,0.9999,0.06962905
13.52,0.002,1,0.9998,0.9999,0.07226524
14.04,0.002,1,0.9998,0.9999,0.07489218
14.56,0.002,1,0.9998,0.9999,0.07661333
15.08,0.002,1,0.9998,0.9999,0.06721094
15.6,0.002,1,0.9998,0.9999,0.02913353
16.12,0.002,1,0.9998,0.9999,0
16.64,0.002,1,0.9998,0.9999,0
17.16,0.002,1,0.9998,0.9999,0
17.68,0.002,1,0.9998,0.9999,0
18.2,0.002,1,0.9998,0.9999,0
18.72,0.002,1,0.9998,0.9999,0
19.24,0.002,1,0.9998,0.9999,0
19.76,0.002,1,0.9998,0.9999,0
20.28,0.002,1,0.9998,0.9999,0
-5.2,0.003,1,0.9997,0.9998,0
-4.68,0.003,1,0.9997,0.9998,0
-4.16,0.003,1,0.9997,0.9998,0
-3.64,0.003,1,0.9997,0.9998,0
-3.12,0.003,1,0.9997,0.9998,0
-2.6,0.003,1,0.9997,0.9998,0
-2.08,0.003,1,0.9997,0.9998,0
-1.56,0.003,1,0.9997,0.9998,0
-1.04,0.003,1,0.9997,0.9998,0.00000898
-0.52,0.003,1,0.9997,0.9998,0.00018759
0,0.003,1,0.9997,0.9998,0.00158425
0.52,0.003,1,0.9997,0.9998,0.00568153
1.04,0.003,1,0.9997,0.9998,0.00997022
1.56,0.003,1,0.9997,0.9998,0.01423613
2.08,0.003,1,0.9997,0.9998,0.01847939
2.6,0.003,1,0.9997,0.9998,0.02270011
3.12,0.003,1,0.9997,0.9998,0.02689843
3.64,0.003,1,0.9997,0.9998,0.03107446
4.16,0.003,1,0.9997,0.9998,0.03522835
4.68,0.003,1,0.9997,0.9998,0.0393602
5.2,0.003,1,0.9997,0.9998,0.04347015
5.72,0.003,1,0.9997,0.9998,0.04755831
6.24,0.003,1,0.9997,0.9998,0.05162481
6.76,0.003,1,0.9997,0.9998,0.05566977
7.28,0.003,1,0.9997,0.9998,0.0596933
7.8,0.003,1,0.9997,0.9998,0.06369553
8.32,0.003,1,0.9997,0.9998,0.06767658
8.84,0.003,1,0.9997,0.9998,0.07163656
9.36,0.003,1,0.9997,0.9998,0.07557559
9.88,0.003,1,0.9997,0.9998,0.07949378
10.4,0.003,1,0.9997,0.9998,0.08339126
10.92,0.003,1,0.9997,0.9998,0.08726813
11.44,0.003,1,0.9997,0.9998,0.09112452
11.96,0.003,1,0.9997,0.9998,0.09496053
12.48,0.003,1,0.9997,0.9998,0.09877628
13,0.003,1,0.9997,0.9998,0.10257188
13.52,0.003,1,0.9997,0.9998,0.10634745
14.04,0.003,1,0.9997,0.9998,0.10992259
14.56,0.003,1,0.9997,0.9998,0.1105724
15.08,0.003,1,0.9997,0.9998,0.09280695
15.6,0.003,1,0.9997,0.9998,0.03877945
16.12,0.003,1,0.9997,0.9998,0
16.64,0.003,1,0.9997,0.9998,0
17.16,0.003,1,0.9997,0.9998,0
17.68,0.003,1,0.9997,0.9998,0
18.2,0.003,1,0.9997,0.9998,0
18.72,0.003,1,0.9997,0.9998,0
19.24,0.003,1,0.9997,0.9998,0
19.76,0.003,1,0.9997,0.9998,0
20.28,0.003,1,0.9997,0.9998,0
-5.2,0.004,1,0.9996,0.9997,0
-4.68,0.004,1,0.9996,0.9997,0
-4.16,0.004,1,0.9996,0.9997,0
-3.64,0.004,1,0.9996,0.9997,0
-3.12,0.004,1,0.9996,0.9997,0
-2.6,0.004,1,0.9996,0.9997,0
-2.08,0.004,1,0.9996,0.9997,0
-1.56,0.004,1,0.9996,0.9997,0.00000154
-1.04,0.004,1,0.9996,0.9997,0.00003795
-0.52,0.004,1,0.9996,0.9997,0.00042361
