x,t,a,l,lp,n
17.68,0.776,1,0.9224,0.9225,0
18.2,0.776,1,0.9224,0.9225,0
18.72,0.776,1,0.9224,0.9225,0
19.24,0.776,1,0.9224,0.9225,0
19.76,0.776,1,0.9224,0.9225,0
20.28,0.776,1,0.9224,0.9225,0
-5.2,0.777,1,0.9223,0.9224,0.00038464
-4.68,0.777,1,0.9223,0.9224,0.0008064
-4.16,0.777,1,0.9223,0.9224,0.00169064
-3.64,0.777,1,0.9223,0.9224,0.00354448
-3.12,0.777,1,0.9223,0.9224,0.00743111
-2.6,0.777,1,0.9223,0.9224,0.01557954
-2.08,0.777,1,0.9223,0.9224,0.03266295
-1.56,0.777,1,0.9223,0.9224,0.0684788
-1.04,0.777,1,0.9223,0.9224,0.14356773
-0.52,0.777,1,0.9223,0.9224,0.30099374
0,0.777,1,0.9223,0.9224,0.56541417
0.52,0.777,1,0.9223,0.9224,0.76351828
1.04,0.777,1,0.9223,0.9224,0.76282534
1.56,0.777,1,0.9223,0.9224,0.76198397
2.08,0.777,1,0.9223,0.9224,0.76097847
2.6,0.777,1,0.9223,0.9224,0.7597888
3.12,0.777,1,0.9223,0.9224,0.75838985
3.64,0.777,1,0.9223,0.9224,0.7567505
4.16,0.777,1,0.9223,0.9224,0.75483237
4.68,0.777,1,0.9223,0.9224,0.75258826
5.2,0.777,1,0.9223,0.9224,0.74996014
5.72,0.777,1,0.9223,0.9224,0.74687657
6.24,0.777,1,0.9223,0.9224,0.74324948
6.76,0.777,1,0.9223,0.9224,0.7389699
7.28,0.777,1,0.9223,0.9224,0.73390265
7.8,0.777,1,0.9223,0.9224,0.72787936
8.32,0.777,1,0.9223,0.9224,0.72068947
8.84,0.777,1,0.9223,0.9224,0.71206864
9.36,0.777,1,0.9223,0.9224,0.70168346
9.88,0.777,1,0.9223,0.9224,0.68911157
10.4,0.777,1,0.9223,0.9224,0.67381547
10.92,0.777,1,0.9223,0.9224,0.65510782
11.44,0.777,1,0.9223,0.9224,0.63210555
11.96,0.777,1,0.9223,0.9224,0.60366857
12.48,0.777,1,0.9223,0.9224,0.56831764
13,0.777,1,0.9223,0.9224,0.52412401
13.52,0.777,1,0.9223,0.9224,0.46856008
14.04,0.777,1,0.9223,0.9224,0.39829663
14.56,0.777,1,0.9223,0.9224,0.30892612
15.08,0.777,1,0.9223,0.9224,0.19458321
15.6,0.777,1,0.9223,0.9224,0.06726985
16.12,0.777,1,0.9223,0.9224,0
16.64,0.777,1,0.9223,0.9224,0
17.16,0.777,1,0.9223,0.9224,0
17.68,0.777,1,0.9223,0.9224,0
18.2,0.777,1,0.9223,0.9224,0
18.72,0.777,1,0.9223,0.9224,0
19.24,0.777,1,0.9223,0.9224,0
19.76,0.777,1,0.9223,0.9224,0
20.28,0.777,1,0.9223,0.9224,0
-5.2,0.778,1,0.9222,0.9223,0.00038458
-4.68,0.778,1,0.9222,0.9223,0.00080628
-4.16,0.778,1,0.9222,0.9223,0.00169039
-3.64,0.778,1,0.9222,0.9223,0.00354395
-3.12,0.778,1,0.9222,0.9223,0.00743
-2.6,0.778,1,0.9222,0.9223,0.0155772
-2.08,0.778,1,0.9222,0.9223,0.03265806
-1.56,0.778,1,0.9222,0.9223,0.06846854
-1.04,0.778,1,0.9222,0.9223,0.14354621
-0.52,0.778,1,0.9222,0.9223,0.3009486
0,0.778,1,0.9222,0.9223,0.56532934
0.52,0.778,1,0.9222,0.9223,0.76340367
1.04,0.778,1,0.9222,0.9223,0.76271077
1.56,0.778,1,0.9222,0.9223,0.76186946
2.08,0.778,1,0.9222,0.9223,0.76086405
2.6,0.778,1,0.9222,0.9223,0.7596745
3.12,0.778,1,0.9222,0.9223,0.75827572
3.64,0.778,1,0.9222,0.9223,0.75663658
4.16,0.778,1,0.9222,0.9223,0.75471869
4.68,0.778,1,0.9222,0.9223,0.75247488
5.2,0.778,1,0.9222,0.9223,0.74984712
5.72,0.778,1,0.9222,0.9223,0.74676399
6.24,0.778,1,0.9222,0.9223,0.74313741
6.76,0.778,1,0.9222,0.9223,0.73885845
7.28,0.778,1,0.9222,0.9223,0.73379194
7.8,0.778,1,0.9222,0.9223,0.72776953
8.32,0.778,1,0.9222,0.9223,0.72058071
8.84,0.778,1,0.9222,0.9223,0.71196115
9.36,0.778,1,0.9222,0.9223,0.70157752
9.88,0.778,1,0.9222,0.9223,0.68900751
10.4,0.778,1,0.9222,0.9223,0.67371369
10.92,0.778,1,0.9222,0.9223,0.65500885
11.44,0.778,1,0.9222,0.9223,0.63201004
11.96,0.778,1,0.9222,0.9223,0.60357734
12.48,0.778,1,0.9222,0.9223,0.56823173
13,0.778,1,0.9222,0.9223,0.52404477
13.52,0.778,1,0.9222,0.9223,0.46848922
14.04,0.778,1,0.9222,0.9223,0.39823638
14.56,0.778,1,0.9222,0.9223,0.30887938
15.08,0.778,1,0.9222,0.9223,0.19455376
15.6,0.778,1,0.9222,0.9223,0.06725967
16.12,0.778,1,0.9222,0.9223,0
16.64,0.778,1,0.9222,0.9223,0
17.16,0.778,1,0.9222,0.9223,0
17.68,0.778,1,0.9222,0.9223,0
18.2,0.778,1,0.9222,0.9223,0
18.72,0.778,1,0.9222,0.9223,0
19.24,0.778,1,0.9222,0.9223,0
19.76,0.778,1,0.9222,0.9223,0
20.28,0.778,1,0.9222,0.9223,0
-5.2,0.779,1,0.9221,0.9222,0.00038452
-4.68,0.779,1,0.9221,0.9222,0.00080616
-4.16,0.779,1,0.9221,0.9222,0.00169014
-3.64,0.779,1,0.9221,0.9222,0.00354342
-3.12,0.779,1,0.9221,0.9222,0.00742888
-2.6,0.779,1,0.9221,0.9222,0.01557487
-2.08,0.779,1,0.9221,0.9222,0.03265316
-1.56,0.779,1,0.9221,0.9222,0.06845828
-1.04,0.779,1,0.9221,0.9222,0.14352469
-0.52,0.779,1,0.9221,0.9222,0.30090346
0,0.779,1,0.9221,0.9222,0.56524452
0.52,0.779,1,0.9221,0.9222,0.76328907
1.04,0.779,1,0.9221,0.9222,0.76259619
1.56,0.779,1,0.9221,0.9222,0.76175494
2.08,0.779,1,0.9221,0.9222,0.76074963
2.6,0.779,1,0.9221,0.9222,0.75956021
3.12,0.779,1,0.9221,0.9222,0.75816159
3.64,0.779,1,0.9221,0.9222,0.75652265
4.16,0.779,1,0.9221,0.9222,0.75460502
4.68,0.779,1,0.9221,0.9222,0.75236151
5.2,0.779,1,0.9221,0.9222,0.74973411
5.72,0.779,1,0.9221,0.9222,0.74665141
6.24,0.779,1,0.9221,0.9222,0.74302535
6.76,0.779,1,0.9221,0.9222,0.73874701
7.28,0.779,1,0.9221,0.9222,0.73368124
7.8,0.779,1,0.9221,0.9222,0.72765971
8.32,0.779,1,0.9221,0.9222,0.72047195
8.84,0.779,1,0.9221,0.9222,0.71185367
9.36,0.779,1,0.9221,0.9222,0.70147158
9.88,0.779,1,0.9221,0.9222,0.68890345
10.4,0.779,1,0.9221,0.9222,0.67361192
10.92,0.779,1,0.9221,0.9222,0.65490989
11.44,0.779,1,0.9221,0.9222,0.63191453
11.96,0.779,1,0.9221,0.9222,0.6034861
12.48,0.779,1,0.9221,0.9222,0.56814583
13,0.779,1,0.9221,0.9222,0.52396552
13.52,0.779,1,0.9221,0.9222,0.46841836
14.04,0.779,1,0.9221,0.9222,0.39817613
14.56,0.779,1,0.9221,0.9222,0.30883264
15.08,0.779,1,0.9221,0.9222,0.19452432
15.6,0.779,1,0.9221,0.9222,0.06724948
16.12,0.779,1,0.9221,0.9222,0
16.64,0.779,1,0.9221,0.9222,0
17.16,0.779,1,0.9221,0.9222,0
17.68,0.779,1,0.9221,0.9222,0
18.2,0.779,1,0.9221,0.9222,0
18.72,0.779,1,0.9221,0.9222,0
19.24,0.779,1,0.9221,0.9222,0
19.76,0.779,1,0.9221,0.9222,0
20.28,0.779,1,0.9221,0.9222,0
-5.2,0.78,1,0.922,0.9221,0.00038446
-4.68,0.78,1,0.922,0.9221,0.00080604
-4.16,0.78,1,0.922,0.9221,0.00168988
-3.64,0.78,1,0.922,0.9221,0.00354289
-3.12,0.78,1,0.922,0.9221,0.00742777
-2.6,0.78,1,0.922,0.9221,0.01557254
-2.08,0.78,1,0.922,0.9221,0.03264827
-1.56,0.78,1,0.922,0.9221,0.06844802
-1.04,0.78,1,0.922,0.9221,0.14350317
-0.52,0.78,1,0.922,0.9221,0.30085832
0,0.78,1,0.922,0.9221,0.56515969
0.52,0.78,1,0.922,0.9221,0.76317446
1.04,0.78,1,0.922,0.9221,0.76248162
1.56,0.78,1,0.922,0.9221,0.76164043
2.08,0.78,1,0.922,0.9221,0.76063521
2.6,0.78,1,0.922,0.9221,0.75944592
3.12,0.78,1,0.922,0.9221,0.75804746
3.64,0.78,1,0.922,0.9221,0.75640872
4.16,0.78,1,0.922,0.9221,0.75449134
4.68,0.78,1,0.922,0.9221,0.75224813
5.2,0.78,1,0.922,0.9221,0.74962109
5.72,0.78,1,0.922,0.9221,0.74653882
6.24,0.78,1,0.922,0.9221,0.74291328
6.76,0.78,1,0.922,0.9221,0.73863556
7.28,0.78,1,0.922,0.9221,0.73357053
7.8,0.78,1,0.922,0.9221,0.72754988
8.32,0.78,1,0.922,0.9221,0.72036318
8.84,0.78,1,0.922,0.9221,0.71174618
9.36,0.78,1,0.922,0.9221,0.70136564
9.88,0.78,1,0.922,0.9221,0.68879939
10.4,0.78,1,0.922,0.9221,0.67351015
10.92,0.78,1,0.922,0.9221,0.65481092
11.44,0.78,1,0.922,0.9221,0.63181902
11.96,0.78,1,0.922,0.9221,0.60339487
12.48,0.78,1,0.922,0.9221,0.56805992
13,0.78,1,0.922,0.9221,0.52388628
13.52,0.78,1,0.922,0.9221,0.4683475
14.04,0.78,1,0.922,0.9221,0.39811589
14.56,0.78,1,0.922,0.9221,0.3087859
15.08,0.78,1,0.922,0.9221,0.19449487
15.6,0.78,1,0.922,0.9221,0.0672393
16.12,0.78,1,0.922,0.9221,0
16.64,0.78,1,0.922,0.9221,0
17.16,0.78,1,0.922,0.9221,0
17.68,0.78,1,0.922,0.9221,0
18.2,0.78,1,0.922,0.9221,0
18.72,0.78,1,0.922,0.9221,0
19.24,0.78,1,0.922,0.9221,0
19.76,0.78,1,0.922,0.9221,0
20.28,0.78,1,0.922,0.9221,0
-5.2,0.781,1,0.9219,0.922,0.00038441
-4.68,0.781,1,0.9219,0.922,0.00080592
-4.16,0.781,1,0.9219,0.922,0.00168963
-3.64,0.781,1,0.9219,0.922,0.00354236
-3.12,0.781,1,0.9219,0.922,0.00742666
-2.6,0.781,1,0.9219,0.922,0.01557021
-2.08,0.781,1,0.9219,0.922,0.03264338
-1.56,0.781,1,0.9219,0.922,0.06843776
-1.04,0.781,1,0.9219,0.922,0.14348165
-0.52,0.781,1,0.9219,0.922,0.30081319
0,0.781,1,0.9219,0.922,0.56507486
0.52,0.781,1,0.9219,0.922,0.76305985
1.04,0.781,1,0.9219,0.922,0.76236704
1.56,0.781,1,0.9219,0.922,0.76152592
2.08,0.781,1,0.9219,0.922,0.76052079
2.6,0.781,1,0.9219,0.922,0.75933162
3.12,0.781,1,0.9219,0.922,0.75793333
3.64,0.781,1,0.9219,0.922,0.75629479
4.16,0.781,1,0.9219,0.922,0.75437766
4.68,0.781,1,0.9219,0.922,0.75213475
