0.001000,1.000000,0.461273,62.384525
0.002000,0.999375,0.461093,62.372376
0.003000,0.998750,0.460918,62.360598
0.004000,0.998125,0.460748,62.349127
0.005000,0.997500,0.460583,62.337987
0.006000,0.996875,0.460423,62.327180
0.007000,0.996250,0.460267,62.316689
0.008000,0.995625,0.460116,62.306507
0.009000,0.995000,0.459969,62.296621
0.010000,0.994375,0.459826,62.287037
0.011000,0.993750,0.459688,62.277754
0.012000,0.993125,0.459554,62.268745
0.013000,0.992500,0.459424,62.260035
0.014000,0.991875,0.459298,62.251577
0.015000,0.991250,0.459176,62.243379
0.016000,0.990625,0.459057,62.235451
0.017000,0.990000,0.458942,62.227773
0.018000,0.989375,0.458831,62.220337
0.019000,0.988750,0.458723,62.213130
0.020000,0.988125,0.458618,62.206157
0.021000,0.987500,0.458517,62.199407
0.022000,0.986875,0.458419,62.192898
0.023000,0.986250,0.458324,62.186589
0.024000,0.985625,0.458232,62.180469
0.025000,0.985000,0.458143,62.174574
0.026000,0.984375,0.458057,62.168865
0.027000,0.983750,0.457973,62.163337
0.028000,0.983125,0.457892,62.158002
0.029000,0.982500,0.457814,62.152856
0.030000,0.981875,0.457738,62.147861
0.031000,0.981250,0.457665,62.143038
0.032000,0.980625,0.457594,62.138381
0.033000,0.980000,0.457525,62.133877
0.034000,0.979375,0.457458,62.129532
0.035000,0.978750,0.457394,62.125326
0.036000,0.978125,0.457332,62.121263
0.037000,0.977500,0.457271,62.117344
0.038000,0.976875,0.457213,62.113566
0.039000,0.976250,0.457156,62.109902
0.040000,0.975625,0.457101,62.106372
0.041000,0.975000,0.457048,62.102967
0.042000,0.974375,0.456997,62.099671
0.043000,0.973750,0.456947,62.096493
0.044000,0.973125,0.456899,62.093423
0.045000,0.972500,0.456853,62.090466
0.046000,0.971875,0.456807,62.087606
0.047000,0.971250,0.456764,62.084850
0.048000,0.970625,0.456722,62.082190
0.049000,0.970000,0.456681,62.079626
0.050000,0.969375,0.456641,62.077150
0.051000,0.968750,0.456603,62.074761
0.052000,0.968125,0.456566,62.072461
0.053000,0.967500,0.456530,62.070239
0.054000,0.966875,0.456495,62.068096
0.055000,0.966250,0.456461,62.066034
