0.001000,1.000000,0.025350,5.097164
0.002000,0.999375,0.043661,6.896900
0.003000,0.998750,0.061298,8.638727
0.004000,0.998125,0.078251,10.321554
0.005000,0.997500,0.094526,11.945369
0.006000,0.996875,0.110133,13.510893
0.007000,0.996250,0.125092,15.019503
0.008000,0.995625,0.139426,16.472920
0.009000,0.995000,0.153162,17.873159
0.010000,0.994375,0.166326,19.222350
0.011000,0.993750,0.178946,20.522703
0.012000,0.993125,0.191049,21.776360
0.013000,0.992500,0.202658,22.985409
0.014000,0.991875,0.213800,24.151855
0.015000,0.991250,0.224495,25.277545
0.016000,0.990625,0.234766,26.364335
0.017000,0.990000,0.244632,27.413827
0.018000,0.989375,0.254110,28.427602
0.019000,0.988750,0.263218,29.407119
0.020000,0.988125,0.271971,30.353765
0.021000,0.987500,0.280385,31.268808
0.022000,0.986875,0.288473,32.153463
0.023000,0.986250,0.296249,33.008922
0.024000,0.985625,0.303724,33.836269
0.025000,0.985000,0.310912,34.636577
0.026000,0.984375,0.317823,35.410839
0.027000,0.983750,0.324468,36.160039
0.028000,0.983125,0.330858,36.885120
0.029000,0.982500,0.337003,37.587003
0.030000,0.981875,0.342912,38.266537
0.031000,0.981250,0.348596,38.924595
0.032000,0.980625,0.354063,39.561990
0.033000,0.980000,0.359322,40.179517
0.034000,0.979375,0.364381,40.777973
0.035000,0.978750,0.369249,41.358100
0.036000,0.978125,0.373933,41.920616
0.037000,0.977500,0.378440,42.466236
0.038000,0.976875,0.382778,42.995666
0.039000,0.976250,0.386954,43.509550
0.040000,0.975625,0.390975,44.008542
0.041000,0.975000,0.394846,44.493290
0.042000,0.974375,0.398574,44.964403
0.043000,0.973750,0.402165,45.422475
0.044000,0.973125,0.405624,45.868071
0.045000,0.972500,0.408957,46.301771
0.046000,0.971875,0.412169,46.724134
0.047000,0.971250,0.415264,47.135688
0.048000,0.970625,0.418247,47.536952
0.049000,0.970000,0.421123,47.928438
0.050000,0.969375,0.423896,48.310643
0.051000,0.968750,0.426570,48.684051
0.052000,0.968125,0.429148,49.049123
0.053000,0.967500,0.431635,49.406315
0.054000,0.966875,0.434034,49.756062
0.055000,0.966250,0.436349,50.098784
0.056000,0.965625,0.438582,50.434888
0.057000,0.965000,0.440736,50.764748
0.058000,0.964375,0.442815,51.088727
0.059000,0.963750,0.444821,51.407174
0.060000,0.963125,0.446758,51.720378
0.061000,0.962500,0.448627,52.028617
0.062000,0.961875,0.450431,52.332139
0.063000,0.961250,0.452172,52.631163
0.064000,0.960625,0.453854,52.925865
0.065000,0.960000,0.455478,53.216360
0.066000,0.959375,0.457045,53.502741
0.067000,0.958750,0.458560,53.785098
0.068000,0.958125,0.460023,54.063384
0.069000,0.957500,0.461436,54.337640
0.070000,0.956875,0.462802,54.607780
0.071000,0.956250,0.464123,54.873715
0.072000,0.955625,0.465399,55.135291
0.073000,0.955000,0.466634,55.392420
0.074000,0.954375,0.467829,55.644920
0.075000,0.953750,0.468985,55.892648
0.076000,0.953125,0.470105,56.135459
0.077000,0.952500,0.471190,56.373158
